date,market_return,cross_sectional_dispersion,breadth,realized_volatility_20d,trend_60d,liquidity_stress,sector_dispersion,sector_return_max_minus_min,market_move_to_dispersion
2018-03-29,0.014239813542954552,0.015996809338084964,0.875,0.013690080136494196,-0.003238677649775125,0.23755619444029707,0.01346993868257935,0.045283312025401215,0.6289544337040208
2018-04-02,-0.02220731144645728,0.015695196892502924,0.08333333333333333,0.014513373288161633,-0.034276155412388605,0.032487202940251536,0.007274766931061067,0.02235578624018445,0.7043991855074557
2018-04-03,0.015912344704031318,0.008113510464402804,1.0,0.014711589225679656,-0.025467410620084046,0.04321233910912792,0.0070795077491270795,0.019462850592164203,1.3843286632387768
2018-04-04,0.009442742694100678,0.00931628649222576,0.8333333333333334,0.0148536185690437,-0.02253536715442627,-0.01105306602143541,0.006898219512793223,0.021717922308361816,1.231369786988902
2018-04-05,0.009600608542111278,0.010954326133570917,0.875,0.015045546770038457,-0.016620524242097316,0.14097081430013192,0.00870413372316327,0.023007300227869974,1.08373691957048
2018-04-06,-0.02102252582941451,0.006940601512634867,0.0,0.015684416949079984,-0.03875721692444936,-0.036445461956505776,0.005726125321014186,0.017599402759537787,1.838199484863361
2018-04-09,0.005563899967637467,0.012504404262492974,0.6666666666666666,0.015057558590059373,-0.03393052348355432,0.23452633652904353,0.00808521668510234,0.022797767479019553,0.9685858312877534
2018-04-10,0.019662526209688103,0.013554883669724295,1.0,0.015845915286583002,-0.023194237067948358,0.00960062789973748,0.010651319888715373,0.0305949549842904,0.9549249329451625
2018-04-11,-0.0040842058552476345,0.009772154714223689,0.2916666666666667,0.015816864414132693,-0.03472720659137345,0.07238133542141834,0.007922170878536146,0.02409613820748487,1.3132062900206989
2018-04-12,0.009333956008244987,0.012929066337982213,0.75,0.015970653996246642,-0.025578207964154453,0.10797206053068364,0.010622574352701617,0.029014646930184036,1.0123916171884306
2018-04-13,-0.0005496046599880733,0.011847045762277715,0.625,0.015931960714102127,-0.03221269185030996,0.21176034760916118,0.010997980968380927,0.036338353871979444,1.0894587322020735
2018-04-16,0.007771164258596368,0.00835005071432872,0.8333333333333334,0.01602481046386209,-0.024908992625129033,0.569996647980286,0.006292419805257995,0.020789687333926464,1.573319748531879
2018-04-17,0.014010170994123619,0.021704482672367825,0.7916666666666666,0.015705949097406646,-0.01595652134703593,-0.3662406391821622,0.016067654927058472,0.05323976704201254,0.5933120643658182
2018-04-18,0.0001316760862051606,0.012069734258044954,0.375,0.015686449020133088,-0.026015162611288483,-0.28262266908144973,0.009936488564704724,0.025392330357829767,1.0486674961664226
2018-04-19,-0.003073211629153328,0.01468642146546396,0.3333333333333333,0.015711635099235403,-0.03352212700457785,-0.09819688025378315,0.010785207925301717,0.03580265016465219,0.870632437769514
