date,pc1,pc2,pc3,regime,model_fit_start_date,model_fit_end_date,regime_model_id,assignment_window_start_date,assignment_window_end_date
2022-03-14,-0.3474229117344229,-1.504693976075164,-2.207207485189597,1,2021-03-25,2022-03-11,0,2022-03-14,2022-04-08
2022-03-15,-0.04854368544865231,-1.3308097288502911,0.9545238373666901,1,2021-03-25,2022-03-11,0,2022-03-14,2022-04-08
2022-03-16,-0.5452376355444157,1.1579383820305966,2.4658681662888133,3,2021-03-25,2022-03-11,0,2022-03-14,2022-04-08
2022-03-17,-0.21892094470189674,-1.4097929022500686,0.21928052625847874,1,2021-03-25,2022-03-11,0,2022-03-14,2022-04-08
2022-03-18,-0.7391272756483065,0.30119900010462397,-0.9373307849759238,1,2021-03-25,2022-03-11,0,2022-03-14,2022-04-08
2022-03-21,-0.5974218544558374,-0.05498899175068342,-1.51480673872767,1,2021-03-25,2022-03-11,0,2022-03-14,2022-04-08
2022-03-22,-1.3014841792403704,1.0409875824431212,0.004362407911464239,3,2021-03-25,2022-03-11,0,2022-03-14,2022-04-08
2022-03-23,-0.2624507194917489,-2.712527225961604,0.019011946227699406,1,2021-03-25,2022-03-11,0,2022-03-14,2022-04-08
2022-03-24,-0.5320753153839967,-1.3810425398054005,-2.1215251324889555,1,2021-03-25,2022-03-11,0,2022-03-14,2022-04-08
2022-03-25,-0.22885605536459783,-2.8015491598284754,-0.7541775714432606,1,2021-03-25,2022-03-11,0,2022-03-14,2022-04-08
2022-03-28,-0.9441308220274972,-0.22496424410872426,-1.8484936256523614,1,2021-03-25,2022-03-11,0,2022-03-14,2022-04-08
2022-03-29,-0.8004847415234678,-0.22596068137254197,-0.6969516756295764,1,2021-03-25,2022-03-11,0,2022-03-14,2022-04-08
2022-03-30,-0.6254572161494952,-0.9794056758977334,-0.4518855457735846,1,2021-03-25,2022-03-11,0,2022-03-14,2022-04-08
2022-03-31,0.5647723854407043,-2.436331162286414,2.230268554821697,2,2021-03-25,2022-03-11,0,2022-03-14,2022-04-08
2022-04-01,-0.6389767918854589,2.196910060446746,-0.9155090341173461,3,2021-03-25,2022-03-11,0,2022-03-14,2022-04-08
2022-04-04,0.5129992910073888,-0.6653463452442736,2.26588269365942,2,2021-03-25,2022-03-11,0,2022-03-14,2022-04-08
2022-04-05,0.30755581194376674,-0.37006976257336344,0.5844877952132919,1,2021-03-25,2022-03-11,0,2022-03-14,2022-04-08
2022-04-06,0.5573727555315046,-1.4698578807870744,-0.11473097186486306,1,2021-03-25,2022-03-11,0,2022-03-14,2022-04-08
2022-04-07,0.2711154537921736,-0.9585398682680609,0.6589730285900384,1,2021-03-25,2022-03-11,0,2022-03-14,2022-04-08
2022-04-08,0.06861875390885312,-0.13005593540006166,0.6072107481244332,1,2021-03-25,2022-03-11,0,2022-03-14,2022-04-08
2022-04-11,-0.2914206958312208,2.435965306470917,1.5612198222771525,2,2021-03-25,2022-04-08,1,2022-04-11,2022-05-06
2022-04-12,0.378832764145393,-0.622860371907119,2.167104396822514,1,2021-03-25,2022-04-08,1,2022-04-11,2022-05-06
2022-04-13,-0.21638390063243174,1.161226313130358,0.05530574825912497,2,2021-03-25,2022-04-08,1,2022-04-11,2022-05-06
2022-04-14,0.387138159408195,-1.575026322412035,1.0065819682055825,0,2021-03-25,2022-04-08,1,2022-04-11,2022-05-06
2022-04-15,0.0046629264014578075,-0.11112544205216522,-0.9849938599974706,0,2021-03-25,2022-04-08,1,2022-04-11,2022-05-06
2022-04-18,-0.3652883948348145,2.074930979184544,0.9964866975146038,2,2021-03-25,2022-04-08,1,2022-04-11,2022-05-06
2022-04-19,-0.2558968580178768,1.577733013637074,-0.9160533830750887,3,2021-03-25,2022-04-08,1,2022-04-11,2022-05-06
2022-04-20,-0.009770068785548817,-0.5265201040341247,0.4002296016851996,0,2021-03-25,2022-04-08,1,2022-04-11,2022-05-06
2022-04-21,0.4171825450638538,-0.9976052077106933,2.1726776397727976,1,2021-03-25,2022-04-08,1,2022-04-11,2022-05-06
2022-04-22,0.007685451871330168,0.7678822490714824,0.8769372054756759,2,2021-03-25,2022-04-08,1,2022-04-11,2022-05-06
2022-04-25,-0.6704437665326641,3.194457952057297,1.7099853252763442,2,2021-03-25,2022-04-08,1,2022-04-11,2022-05-06
2022-04-26,-0.2743792057405022,-0.4451486669875581,-1.6207907404995527,0,2021-03-25,2022-04-08,1,2022-04-11,2022-05-06
2022-04-27,0.1922156327112323,-2.0461513692470907,-1.2517493297361537,0,2021-03-25,2022-04-08,1,2022-04-11,2022-05-06
2022-04-28,-0.4690029777067315,-1.0052942105892373,-2.976516487278858,0,2021-03-25,2022-04-08,1,2022-04-11,2022-05-06
2022-04-29,-0.5683299748493037,0.9983213934327928,-1.0393494842301712,3,2021-03-25,2022-04-08,1,2022-04-11,2022-05-06
2022-05-02,-0.2359955757167893,-1.8704355512695492,-0.6022356225496208,0,2021-03-25,2022-04-08,1,2022-04-11,2022-05-06
2022-05-03,-0.371489905040162,0.7668206350161031,2.5934655529657644,2,2021-03-25,2022-04-08,1,2022-04-11,2022-05-06
2022-05-04,0.858514725959167,-2.9013839767463128,2.423840302906128,1,2021-03-25,2022-04-08,1,2022-04-11,2022-05-06
2022-05-05,-0.3433832620484855,2.02698722969954,0.4390560770926099,2,2021-03-25,2022-04-08,1,2022-04-11,2022-05-06
2022-05-06,0.8487518115564537,-2.084335221299717,1.5114447540701732,1,2021-03-25,2022-04-08,1,2022-04-11,2022-05-06
2022-05-09,0.36876802710918993,0.20009176937088866,1.4055465412928618,2,2021-03-25,2022-05-06,2,2022-05-09,2022-06-03
2022-05-10,-0.04129016700251805,1.0231685332975555,0.7494504750174061,2,2021-03-25,2022-05-06,2,2022-05-09,2022-06-03
2022-05-11,0.41583697796214086,-0.6796524080531456,0.9537615692974765,0,2021-03-25,2022-05-06,2,2022-05-09,2022-06-03
2022-05-12,0.5930913375368959,-2.225895663908853,-1.213185659262459,0,2021-03-25,2022-05-06,2,2022-05-09,2022-06-03
2022-05-13,0.025303683763824726,-0.7176871907427592,0.2952729102239723,0,2021-03-25,2022-05-06,2,2022-05-09,2022-06-03
2022-05-16,-0.2386627112075085,0.023622174342661603,-0.6349379718240836,0,2021-03-25,2022-05-06,2,2022-05-09,2022-06-03
2022-05-17,-0.4867290663797223,1.2800482264572133,-1.5650769550728894,3,2021-03-25,2022-05-06,2,2022-05-09,2022-06-03
2022-05-18,-0.16699059411079314,0.6537421813530194,-1.8179831334022176,3,2021-03-25,2022-05-06,2,2022-05-09,2022-06-03
2022-05-19,-0.03481384790684371,1.417019902710555,2.0406825783430382,2,2021-03-25,2022-05-06,2,2022-05-09,2022-06-03
2022-05-20,0.045770775710126915,0.5885571836759569,-0.13051790743686745,2,2021-03-25,2022-05-06,2,2022-05-09,2022-06-03
2022-05-23,-0.173639951304863,1.939538964487631,0.16050139768544378,2,2021-03-25,2022-05-06,2,2022-05-09,2022-06-03
2022-05-24,0.05728053211815156,1.3337550007129433,1.0566511087354864,2,2021-03-25,2022-05-06,2,2022-05-09,2022-06-03
2022-05-25,0.7218188626979122,-0.5166439041693506,0.9333939983266842,1,2021-03-25,2022-05-06,2,2022-05-09,2022-06-03
